complaint,category
Plastic waste floating in water canal,Public Nuisance / Cleanliness
Truck blocking road during unloading,traffic issues
Traffic jam caused by improper lane discipline,traffic issues
Driver reversing on main road dangerously,traffic issues
Trash not collected for several days,Public Nuisance / Cleanliness
Neighbor hosting religious loud chanting at night causing disturbance,Neighbor / Community Issues
Road blockage due to landslide,traffic issues
Driver ignoring traffic police instructions,traffic issues
Waste dumped near residential complexes,Public Nuisance / Cleanliness
Vehicle blocking zebra crossing,traffic issues
Garbage polluting nearby water bodies,Public Nuisance / Cleanliness
Garbage causing pollution in environment,Public Nuisance / Cleanliness
Garbage bags left on sidewalk,Public Nuisance / Cleanliness
Neighbor creating noise pollution from home workshop,Neighbor / Community Issues
Garbage is being left on the roadside attracting flies and insects,Public Nuisance / Cleanliness
Truck parked illegally on main road,traffic issues
Road blocked due to fallen electric pole,traffic issues
Motorbike carrying excess passengers,traffic issues
Accident caused by distracted driving,traffic issues
Neighbor causing disturbance by operating machinery in residential zone,Neighbor / Community Issues
Neighbor playing loud karaoke at night frequently,Neighbor / Community Issues
Driver using mobile phone while driving,traffic issues
Trash not collected regularly,Public Nuisance / Cleanliness
Unclean garbage collection points,Public Nuisance / Cleanliness
Traffic congestion near shopping mall,traffic issues
Construction noise of neighbor early in the morning daily,Neighbor / Community Issues
Car parked in no-parking zone,traffic issues
Garbage causing bad odor in surroundings,Public Nuisance / Cleanliness
Dispute over property boundary with next-door neighbor,Neighbor / Community Issues
Vehicle parked blocking fire brigade access,traffic issues
Street not cleaned for many days,Public Nuisance / Cleanliness
Garbage smell spreading in the neighborhood,Public Nuisance / Cleanliness
Trash thrown near drainage pipes,Public Nuisance / Cleanliness
Garbage overflowing near the roadside,Public Nuisance / Cleanliness
Neighbor dumping waste into shared drainage canal,Neighbor / Community Issues
Bad smell from livestock of neighbor affecting surroundings,Neighbor / Community Issues
Neighbor blocking access to water tank area,Neighbor / Community Issues
Driver ignoring pedestrian crossing rules,traffic issues
Waste creating unhealthy environment,Public Nuisance / Cleanliness
Neighbor creating nuisance through loud gatherings regularly,Neighbor / Community Issues
Waste disposal not properly managed,Public Nuisance / Cleanliness
Traffic congestion due to narrow bridge,traffic issues
Bus driver refusing to follow route rules,traffic issues
Waste thrown into river polluting water,Public Nuisance / Cleanliness
Garbage affecting cleanliness of streets,Public Nuisance / Cleanliness
Neighbor dumping construction waste near my boundary,Neighbor / Community Issues
Motorbike weaving through traffic dangerously,traffic issues
Someone dumped garbage near my house,Public Nuisance / Cleanliness
Neighbor refusing to resolve land boundary disagreement,Neighbor / Community Issues
Improper disposal of food waste,Public Nuisance / Cleanliness
Neighbor installing CCTV aimed directly into my house,Neighbor / Community Issues
Neighbor organizing loud gatherings every weekend without notice,Neighbor / Community Issues
Neighbor shouting insults during street arguments,Neighbor / Community Issues
Neighbor dumping dirty water onto public path,Neighbor / Community Issues
Garbage affecting cleanliness of neighborhood,Public Nuisance / Cleanliness
Neighbor accusing others of property damage without evidence,Neighbor / Community Issues
The garbage collection point is overflowing and not being maintained,Public Nuisance / Cleanliness
Driver not stopping at pedestrian crossing,traffic issues
Driver driving under influence causing reckless driving,traffic issues
Overflowing garbage container,Public Nuisance / Cleanliness
Garbage not managed properly in area,Public Nuisance / Cleanliness
Garbage accumulation near busy roads,Public Nuisance / Cleanliness
Neighbor refusing to contribute to shared well maintenance,Neighbor / Community Issues
Neighbor dumping dirty water into shared drainage,Neighbor / Community Issues
Car parked on bridge causing obstruction,traffic issues
Neighbor keeping chickens that create foul smell,Neighbor / Community Issues
Neighbor hit my dog,Neighbor / Community Issues
Waste collected but not disposed properly,Public Nuisance / Cleanliness
Neighbor repeatedly parking vehicles in front of my gate,Neighbor / Community Issues
Frequent quarrels between neighbors causing fear in children,Neighbor / Community Issues
Car parked in emergency lane,traffic issues
Neighbor interfering in parking arrangements unfairly,Neighbor / Community Issues
Neighbor creating issue by parking vehicles on shared land,Neighbor / Community Issues
Neighbor planting trees that damage shared boundary wall,Neighbor / Community Issues
Traffic congestion due to road repair work,traffic issues
Bus overloading causing safety risk,traffic issues
Uncollected garbage causing inconvenience,Public Nuisance / Cleanliness
Neighbor causing disturbance through continuous arguing,Neighbor / Community Issues
Neighbor engaging in repeated verbal arguments in street,Neighbor / Community Issues
Street gathering causing loud noise,Neighbor / Community Issues
Neighbor using loud firecrackers during non-festival days,Neighbor / Community Issues
Neighbor refusing to stop construction during restricted hours,Neighbor / Community Issues
Driver overspeeding in city area,traffic issues
Driver ignoring traffic police signals,traffic issues
Road accident involving two vehicles,traffic issues
Neighbor throwing stones at my roof during disputes,Neighbor / Community Issues
Motorbike racing on public road,traffic issues
Bus suddenly stop causing rear-end collision,traffic issues
Litter scattered all over the road,Public Nuisance / Cleanliness
Neighbor causing issue by using loud speakers in street,Neighbor / Community Issues
Motorbike speeding dangerously near school zone,traffic issues
Neighbor refusing to maintain cleanliness of shared spaces,Neighbor / Community Issues
Dirty canal causing health issues,Public Nuisance / Cleanliness
Trash dumped in unauthorized public places,Public Nuisance / Cleanliness
Neighbor refusing to resolve ongoing noise complaints peacefully,Neighbor / Community Issues
Neighbor occupying shared parking space unfairly,Neighbor / Community Issues
Overflowing waste bin attracting animals,Public Nuisance / Cleanliness
Vehicle breakdown in middle of highway,traffic issues
Neighbor creating obstruction with parked three-wheeler daily,Neighbor / Community Issues
Garbage left in front of houses,Public Nuisance / Cleanliness
Dirty waste bins attracting pests,Public Nuisance / Cleanliness
Neighbor constantly hosting noisy gatherings on weekends,Neighbor / Community Issues
Garbage scattered after collection truck delay,Public Nuisance / Cleanliness
Neighbor refusing to stop loud celebrations after warnings,Neighbor / Community Issues
Neighbor interfering in private family matters repeatedly,Neighbor / Community Issues
Neighbor playing radio at very high volume daily,Neighbor / Community Issues
